Accuracy, Precision, Recall, Confusion Matrix
0.95,1.0,0.8571428571428571,[[13  0]  [ 1  6]],
Accuracy, Precision, Recall, Confusion Matrix
0.95,1.0,0.8571428571428571,[[13  0]  [ 1  6]],
Accuracy, Precision, Recall, Confusion Matrix
1.0,1.0,1.0,[[13  0]  [ 0  7]],
Accuracy, Precision, Recall, Confusion Matrix
0.9,1.0,0.7142857142857143,[[13  0]  [ 2  5]],
Accuracy, Precision, Recall, Confusion Matrix
0.95,1.0,0.8571428571428571,[[13  0]  [ 1  6]],
Accuracy, Precision, Recall, Confusion Matrix
1.0,1.0,1.0,[[13  0]  [ 0  7]],
Accuracy, Precision, Recall, Confusion Matrix
0.8,0.6666666666666666,0.8571428571428571,[[10  3]  [ 1  6]],
